"","item_no","index","IC_LT_alt_targ","IC_ST_alt_max","VLrc_real","Mpc","prog_name","orig_prog","discrimination","difficulty","guessing","inattention","answer"
"1",1,482,8.983807376,12.99388189,12,0.496172429,"prog04_I-V-IV-I_3_min_0.mp3","original_prog04_I-V-IV-I.mp3",1.48242098468641,-0.766653450079108,0.16,0.97,3
"2",2,1776,10.75356364,12.99388189,9,0.274970546,"prog13_I-V-II-V_3_aug_1f.mp3","original_prog13_I-V-II-V.mp3",1.48242098468641,-0.965493433746412,0.16,0.97,3
"3",3,3413,10.84237666,12.87843415,6,0.263660845,"prog25_I-II-I-V_2_dim_3f.mp3","original_prog25_I-II-I-V.mp3",1.48242098468641,-1.04454883729465,0.16,0.97,2
"4",4,3954,8.797649093,12.87843415,12,0.742483976,"prog29_I-IV-V-IV_2_maj_3s.mp3","original_prog29_I-IV-V-IV.mp3",1.48242098468641,-0.899545174827984,0.16,0.97,2
"5",5,909,9.26380451,12.99388189,5,0.259739858,"prog07_I-II-V-I_3_min_2s.mp3","original_prog07_I-II-V-I.mp3",1.48242098468641,-0.907391559160187,0.16,0.97,3
"6",6,997,10.01607132,12.99388189,4,0.580018445,"prog08_I-IV-bVII-I_2_maj_5s.mp3","original_prog08_I-IV-bVII-I.mp3",1.48242098468641,-1.15584951118228,0.16,0.97,2
"7",7,1328,8.762456873,12.87843415,11,0.259739858,"prog10_I-IV-I-V_3_min_0.mp3","original_prog10_I-IV-I-V.mp3",1.48242098468641,-0.700181049962614,0.16,0.97,3
"8",8,2404,8.897836105,12.87843415,14,0.742483976,"prog18_I-II-V-II_2_maj_4f.mp3","original_prog18_I-II-V-II.mp3",1.48242098468641,-0.861817905218012,0.16,0.97,2
"9",9,96,4.46040383,13.57937487,8,0.742483976,"prog01_I-V-I-V_4_maj_1s.mp3","original_prog01_I-V-I-V.mp3",1.48242098468641,-0.565625416331125,0.16,0.97,4
"10",10,1180,9.087341168,12.87900881,13,0.852723303,"prog09_I-II-I-II_3_maj_3f.mp3","original_prog09_I-II-I-II.mp3",1.48242098468641,-0.914524923589499,0.16,0.97,3
"11",11,420,11.78145552,12.87843415,13,0.818045437,"prog03_I-V-II-I_4_aug_4s.mp3","original_prog03_I-V-II-I.mp3",1.48242098468641,-1.21081110209437,0.16,0.97,4
"12",12,3669,9.641331313,12.78478819,8,0.600184932,"prog27_I-IV-ii-bVII_2_maj_2f.mp3","original_prog27_I-IV-ii-bVII.mp3",1.48242098468641,-1.01753924822424,0.16,0.97,2
"13",13,680,11.63426902,12.87843415,11,0.933428519,"prog05_I-bVII-IV-I_4_min_5s.mp3","original_prog05_I-bVII-IV-I.mp3",1.48242098468641,-1.27682801946995,0.16,0.97,4
"14",14,765,8.762456873,12.99388189,7,0.259739858,"prog06_I-IV-V-I_3_min_1f.mp3","original_prog06_I-IV-V-I.mp3",1.48242098468641,-0.801994895503946,0.16,0.97,3
"15",15,162,10.68746071,13.57937487,9,0.933428519,"prog02_I-IV-I-IV_2_min_5f.mp3","original_prog02_I-IV-I-IV.mp3",1.48242098468641,-1.24164636096581,0.16,0.97,2
